timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,containers,iteration,failure_mode,tenant,requests,failures,p50_ms,p95_ms,p99_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,isolation_score
2026-03-22T13:45:40+05:30,exp_00181_nhigh_pintermittent_mtc_idip_c3_fnone_it1,high,intermittent,tc,ip,false,none,3,1,none,tenant1,400,0,0.791,5.436,8.665,1.746,3.049,18.669,0,10.9545,8,1,5.6969
2026-03-22T13:50:47+05:30,exp_00187_nhigh_pintermittent_mebpf_idcgroup_c3_fnone_it1,high,intermittent,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,0.782,5.415,8.645,2.089,4.362,18.713,0,11.0550,48,1,7.0057
2026-03-22T13:34:40+05:30,exp_00169_nhigh_pdelayed_start_mebpf_idip_c3_fnone_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.872,6.653,8.643,2.152,4.632,16.591,0,9.9117,7,1,5.6824
2026-03-22T13:45:40+05:30,exp_00181_nhigh_pintermittent_mtc_idip_c3_fnone_it1,high,intermittent,tc,ip,false,none,3,1,none,tenant2,400,0,0.789,5.359,8.611,1.682,2.830,19.293,0,10.9138,1,1,6.9781
2026-03-22T13:42:10+05:30,exp_00177_nhigh_pintermittent_mnone_idip_c3_fnone_it1,high,intermittent,none,ip,false,none,3,1,none,tenant2,400,0,0.784,6.304,8.577,1.914,3.664,18.374,0,10.9401,18,1,6.9506
2026-03-22T13:26:14+05:30,exp_00160_nhigh_pbursty_madaptive_idcgroup_c3_fspike_it1,high,bursty,adaptive,cgroup,true,adaptive,3,1,spike,tenant2,400,0,0.795,5.897,8.548,1.944,3.779,18.181,0,10.7522,6,1,6.9271
2026-03-22T13:24:34+05:30,exp_00158_nhigh_pbursty_madaptive_idip_c3_fspike_it1,high,bursty,adaptive,ip,true,adaptive,3,1,spike,tenant2,400,0,0.812,6.433,8.541,2.273,5.164,15.599,0,10.5185,29,1,6.9214
2026-03-22T10:39:17+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,low,constant,none,ip,false,none,10,4,none,tenant4,400,0,0.749,2.212,8.513,1.399,1.957,19.058,0,11.3658,125,2,4.9265
2026-03-22T13:54:23+05:30,exp_00191_nhigh_pintermittent_madaptive_idcgroup_c3_fnone_it1,high,intermittent,adaptive,cgroup,true,adaptive,3,1,none,tenant2,400,0,0.807,6.020,8.491,2.035,4.143,17.542,0,10.5217,47,1,6.8809
2026-03-22T13:48:08+05:30,exp_00184_nhigh_pintermittent_mtc_idcgroup_c3_fspike_it1,high,intermittent,tc,ip,false,none,3,1,spike,tenant1,400,0,0.787,5.953,8.461,1.794,3.217,19.731,0,10.7510,15,2,5.5628
2026-03-22T13:30:54+05:30,exp_00165_nhigh_pdelayed_start_mtc_idip_c3_fnone_it1,high,delayed_start,tc,ip,false,none,3,1,none,tenant1,400,0,0.828,6.511,8.447,2.140,4.578,16.324,0,10.2017,60,1,5.5536
2026-03-22T12:17:37+05:30,exp_00072_nmedium_pconstant_mtc_idcgroup_c3_fspike_it1,medium,constant,tc,ip,false,none,3,1,spike,tenant2,400,0,0.762,4.331,8.404,1.506,2.269,19.190,0,11.0289,8,1,6.8104
2026-03-22T13:46:28+05:30,exp_00182_nhigh_pintermittent_mtc_idip_c3_fspike_it1,high,intermittent,tc,ip,false,none,3,1,spike,tenant2,400,0,0.798,5.836,8.306,1.948,3.795,18.613,0,10.4085,144,1,6.7310
2026-03-22T13:15:48+05:30,exp_00148_nhigh_pbursty_mnone_idcgroup_c3_fspike_it1,high,bursty,none,ip,false,none,3,1,spike,tenant1,400,0,0.826,6.445,8.277,1.957,3.830,17.091,0,10.0206,109,1,5.4418
2026-03-22T13:27:08+05:30,exp_00161_nhigh_pdelayed_start_mnone_idip_c3_fnone_it1,high,delayed_start,none,ip,false,none,3,1,none,tenant2,400,0,0.785,5.981,8.273,2.043,4.175,16.545,0,10.5389,65,1,6.7042
