timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,hook_point,containers,iteration,failure_mode,tenant,tenant_cpu_quota_pct,tenant_memory_mb,tenant_cpuset,noisy_cpu_quota_pct,noisy_memory_mb,noisy_cpuset,host_reserved_cpus,host_mem_pressure_mb,io_read_bps,io_write_bps,requests,failures,p50_ms,p95_ms,p99_ms,p999_ms,p9999_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,map_lookup_latency_us,kernel_ksoftirqd_latency_us,kernel_ebpf_prog_id,kernel_ebpf_prog_name,kernel_ebpf_prog_type,kernel_ebpf_prog_time_ns_per_run,cg_cpu_usage_usec,cg_cpu_throttled_usec,cg_memory_current_bytes,cg_memory_events_oom,cg_io_read_bytes,cg_io_write_bytes,control_plane_convergence_ms,isolation_score
0,110.5605,39,1,na,na,na,na,na,na,324734,0,9609216,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:08:27+05:30,ohs_ebpf_rate_medium_intermittent_none_20260409_210547,medium,intermittent,ebpf,ip,true,rate_limit,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.672,1.021,8.296,15.663,15.663,1.364,1.860,31.083,0,,,,,,,,,,,,,,,,,0.7502
0,12.3452,75,1,na,na,na,na,na,na,382090,0,9605120,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:08:27+05:30,ohs_ebpf_rate_medium_intermittent_none_20260409_210547,medium,intermittent,ebpf,ip,true,rate_limit,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.859,4.446,10.719,47.522,47.522,4.722,22.298,15.059,0,,,,,,,,,,,,,,,,,1.2148
0,12.4785,87,2,na,na,na,na,na,na,368814,0,9596928,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:08:50+05:30,ohs_ebpf_priority_low_delayed_churn_20260409_210547,low,delayed_start,ebpf,ip,true,priority,tc,3,1,churn,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.740,1.195,5.183,18.990,18.990,1.502,2.256,24.119,0,7.0041,194,1,na,na,na,na,na,na,310078,0,9609216,0,0,4096,na,0.4687
2026-04-09T21:08:50+05:30,ohs_ebpf_priority_low_delayed_churn_20260409_210547,low,delayed_start,ebpf,ip,true,priority,tc,3,1,churn,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.711,1.063,1.581,3.528,3.528,0.273,0.075,30.192,0,2.2236,200,0,na,na,na,na,na,na,311430,0,9609216,0,0,4096,na,0.1792
2026-04-09T21:09:15+05:30,ohs_adaptive_ip_low_constant_none_20260409_210547,low,constant,adaptive,ip,true,adaptive,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.761,1.469,5.111,7.715,7.715,0.790,0.624,24.186,0,6.7162,200,0,na,na,na,na,na,na,406959,0,9609216,0,0,4096,na,0.4622
2026-04-09T21:09:15+05:30,ohs_adaptive_ip_low_constant_none_20260409_210547,low,constant,adaptive,ip,true,adaptive,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.705,1.057,1.961,5.824,5.824,0.426,0.181,26.979,0,2.7816,200,0,na,na,na,na,na,na,410174,0,9601024,0,0,4096,na,0.2222
2026-04-09T21:09:39+05:30,ohs_adaptive_cgroup_high_bursty_spike_20260409_210547,high,bursty,adaptive,cgroup,true,adaptive,tc,3,1,spike,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.705,4.338,75.382,93.806,93.806,12.659,160.258,25.783,0,106.9248,102,2,na,na,na,na,na,na,240737,0,9605120,0,0,4096,na,6.8170
2026-04-09T21:09:39+05:30,ohs_adaptive_cgroup_high_bursty_spike_20260409_210547,high,bursty,adaptive,cgroup,true,adaptive,tc,3,1,spike,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.705,4.996,78.694,164.990,164.990,15.772,248.744,22.933,0,111.6227,58,2,na,na,na,na,na,na,272451,0,9605120,0,0,4096,na,8.9182
2026-04-09T21:10:11+05:30,ohs_resource_constrained_ebpf_20260409_210547,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant1,60,384,auto,40,256,auto,none,256,0,0,200,0,0.665,0.830,2.238,4.684,4.684,0.404,0.164,35.015,0,,,,,,,,,,,,,,,,,0.2024
0,3.3654,200,0,na,na,na,na,na,na,266087,0,9617408,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:10:11+05:30,ohs_resource_constrained_ebpf_20260409_210547,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant2,60,384,auto,40,256,auto,none,256,0,0,200,0,0.682,0.983,5.606,74.557,74.557,6.655,44.291,32.403,0,,,,,,,,,,,,,,,,,0.6353
0,8.2199,66,1,na,na,na,na,na,na,279400,0,9601024,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:10:11+05:30,ohs_resource_constrained_ebpf_20260409_210547,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant3,60,384,auto,40,256,auto,none,256,0,0,200,0,0.711,0.993,2.027,80.137,80.137,5.606,31.428,31.451,0,,,,,,,,,,,,,,,,,na
0,2.8509,164,1,na,na,na,na,na,na,280105,0,9617408,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:10:12+05:30,ohs_resource_constrained_ebpf_20260409_210547,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant4,60,384,auto,40,256,auto,none,256,0,0,200,0,0.662,0.885,4.737,67.549,67.549,4.769,22.744,31.255,0,,,,,,,,,,,,,,,,,na
